exitProb,Name,Mean,lowConfInt,upConfInt
9,LengthQueueU2,1581.325,1568.077,1594.573
9,LengthQueueU1,423.183,393.41,452.955
9,LengthSS1,5.286,5.041,5.53
9,LengthSS2,,,
8,LengthQueueU2,65.863,48.145,83.58
8,LengthQueueU1,1.546,1.503,1.59
8,LengthSS1,1.19,1.152,1.229
8,LengthSS2,1.876,1.802,1.951
5,LengthQueueU2,0.755,0.736,0.774
5,LengthQueueU1,0.7,0.689,0.71
5,LengthSS1,0.594,0.578,0.61
5,LengthSS2,0.592,0.574,0.611
2,LengthQueueU2,0.593,0.583,0.603
2,LengthQueueU1,0.595,0.587,0.602
2,LengthSS1,0.505,0.495,0.515
2,LengthSS2,0.522,0.497,0.547
