run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20190925-14:45:33-1447,runattr,,,configname,General,,,
General-0-20190925-14:45:33-1447,runattr,,,datetime,20190925-14:45:33,,,
General-0-20190925-14:45:33-1447,runattr,,,experiment,General,,,
General-0-20190925-14:45:33-1447,runattr,,,inifile,omnetpp.ini,,,
General-0-20190925-14:45:33-1447,runattr,,,iterationvars,,,,
General-0-20190925-14:45:33-1447,runattr,,,iterationvarsf,,,,
General-0-20190925-14:45:33-1447,runattr,,,measurement,,,,
General-0-20190925-14:45:33-1447,runattr,,,network,FourNodeNetwork,,,
General-0-20190925-14:45:33-1447,runattr,,,processid,1447,,,
General-0-20190925-14:45:33-1447,runattr,,,repetition,0,,,
General-0-20190925-14:45:33-1447,runattr,,,replication,#0,,,
General-0-20190925-14:45:33-1447,runattr,,,resultdir,results,,,
General-0-20190925-14:45:33-1447,runattr,,,runnumber,0,,,
General-0-20190925-14:45:33-1447,runattr,,,seedset,0,,,
General-0-20190925-14:45:33-1447,param,,,**.Source.interArrivalTime,exponential(4s),,,
General-0-20190925-14:45:33-1447,param,,,**.jobPriority,bernoulli(0.4),,,
General-0-20190925-14:45:33-1447,param,,,**.PS.serviceTimeU1,"uniform(0.4s, 1.0s)",,,
General-0-20190925-14:45:33-1447,param,,,**.PS.serviceTimeU2,"uniform(1s, 1.2s)",,,
General-0-20190925-14:45:33-1447,param,,,**.sendingAlgorithm,"""priority""",,,
General-0-20190925-14:45:33-1447,param,,,**.fetchingAlgorithm,"""priority""",,,
General-0-20190925-14:45:33-1447,param,,,**.SS1.serviceTime,exponential(0.4s),,,
General-0-20190925-14:45:33-1447,param,,,**.SS2.serviceTime,exponential(0.8s),,,
General-0-20190925-14:45:33-1447,param,,,**.Classifier.exitProbability,bernoulli(0.2),,,
General-0-20190925-14:45:33-1447,vector,FourNodeNetwork.Queue,queueLength:vector,,,,"0 29.944042932187 30.761912484295 31.57826937066 31.683919771449 71.208281869635 71.22165436294 93.698926913644 93.736069169723 179.569392393888 180.119686059569 191.394948534875 191.659421999342 278.216177479093 278.613038360203 294.929811018698 295.510953900538 315.455209056518 316.007066675146 316.76063822978 316.874497286054 324.723339073508 325.134986524592 348.787377462473 349.562199906797","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20190925-14:45:33-1447,attr,FourNodeNetwork.Queue,queueLength:vector,interpolationmode,sample-hold,,,
General-0-20190925-14:45:33-1447,attr,FourNodeNetwork.Queue,queueLength:vector,title,"queue length, vector",,,
